,,open,high,low,close,volume,value,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_60,EMA_60,SMA_120,EMA_120,SMA_50,SMA_200,Signal,RSI_7,RSI_14,RSI_21,STOCHk_14_3_3,STOCHd_14_3_3,MACD,Signal_Line,MACD_Histogram,Middle_Band,Upper_Band,Lower_Band
daily,2023-03-17 09:00:00,33309000.0,36649000.0,33300000.0,36207000.0,15037.60037165,527068991134.9828,33243800.0,33344140.34772085,30712500.0,31942577.926886667,30588750.0,31265408.926734813,,,,,,,0,87.1183013418435,77.95623087213137,74.25025204671853,85.23970679861604,81.50502937231236,683976.5631486587,-10485.622735480749,694462.1858841395,30588750.0,34809074.60088582,26368425.399114173
daily,2023-03-18 09:00:00,36207000.0,36649000.0,35500000.0,35767000.0,9300.23174069,336519633509.68085,34062000.0,34151760.2318139,31386900.0,32637927.394725453,30813150.0,31694131.8860934,,,,,,,0,81.40491422614464,74.46610803956044,71.42647238347254,90.69104110549078,84.71790483115795,960946.3676177412,183800.77533516366,777145.5922825775,30813150.0,35623963.139497094,26002336.860502906
daily,2023-03-19 09:00:00,35760000.0,37526000.0,35657000.0,37233000.0,7991.51626721,291635366580.8047,35010600.0,35178840.1545426,32349800.0,33473395.141139004,31112050.0,32221643.135036886,,,,,,,0,85.18231242782737,78.00017716161707,74.78168149365821,94.65818715614681,90.19631168675123,1283940.4153628312,403828.7033406972,880111.712022134,31112050.0,36715921.83725869,25508178.16274131
daily,2023-03-20 09:00:00,37228000.0,37838000.0,36217000.0,37295000.0,10244.52549002,380937300370.1099,35967400.0,35884226.76969507,33345000.0,34168232.38820464,31425600.0,32704819.97931909,,,,,,,0,85.32935674621208,78.13799026385722,74.91249728792522,94.5140263747361,93.28775154545791,1527312.499318529,628525.4625362635,898787.0367822654,31425600.0,37673477.93532627,25177722.06467373
daily,2023-03-21 09:00:00,37294000.0,37634000.0,36500000.0,37221000.0,8735.63835041,324509962964.26984,36744600.0,36329817.84646338,34293400.0,34723281.0448947,31731350.0,33134932.36224108,,,,,,,0,84.16632122213734,77.51385976984474,74.42864422538932,95.62348522311989,94.93189958466759,1694680.2289212085,841756.4158132526,852923.813107956,31731350.0,38490916.391418904,24971783.608581096
daily,2023-03-22 09:00:00,37202000.0,38400000.0,35584000.0,36372000.0,10824.6208617,401966237352.42035,36777600.0,36343878.56430893,35010700.0,35023048.12764112,31994500.0,33443224.51821812,,,,,,,0,71.18027536052502,70.55115549105064,69.05556583160939,90.74498143235094,93.62749767673564,1738769.7010723576,1021159.0728650737,717610.6282072839,31994500.0,39055126.31782762,24933873.68217238
daily,2023-03-23 09:00:00,36372000.0,37660000.0,35930000.0,37274000.0,7303.53058862,267745523158.197,37079000.0,36653919.04287262,35570500.0,35432312.10443364,32372750.0,33808060.27838782,,,,,,,0,75.8070026495317,73.29566010349089,71.36186649868836,89.16117307293528,91.84321324280204,1825452.1114349663,1182017.6805790523,643434.430855914,32372750.0,39722469.04582968,25023030.954170316
daily,2023-03-24 09:00:00,37268000.0,37599000.0,36304000.0,36749000.0,6250.39620254,232253434843.6531,36982200.0,36685612.69524842,35996400.0,35671709.90362752,32718300.0,34088149.77568422,,,,,,,0,68.35529524382599,69.25032088018712,68.25303343889279,86.23580990665425,88.71398813731349,1830682.4658622518,1311750.6376356923,518931.82822655956,32718300.0,40214625.67118192,25221974.328818083
daily,2023-03-25 09:00:00,36750000.0,36969000.0,36510000.0,36750000.0,2977.38039843,109275081736.50278,36873200.0,36707075.130165614,36420300.0,35867762.64842252,33056700.0,34341659.32085715,,,,,,,0,68.36220623193122,69.2538017957399,68.25579926959564,87.12075882028729,87.50591393329228,1813997.6157313585,1412200.0332548255,401797.582476533,33056700.0,40643430.02440168,25469969.97559832
daily,2023-03-26 09:00:00,36750000.0,37432000.0,36632000.0,37160000.0,3091.03957658,114387729254.38882,36861000.0,36858050.086777076,36802800.0,36102714.89416388,33426250.0,34610072.71887076,,,,,,,0,71.35463676514641,70.71742954959291,69.4033461782549,86.00029154184278,86.45228675626144,1812959.6549082175,1492351.957585504,320607.69732271344,33426250.0,41058584.2604447,25793915.739555303
